sequence_length,time qaoa (p=1),time qaoa (p=4),time qaoa (p=8),time qaoa (p=12)
10,0.008084267629525771,0.003704644045485211,0.0027281869919680538,0.0035497329659620862
11,0.08855532776595967,0.018254353644742906,0.008289330799919436,0.004324299641150828
12,0.03928348517030072,0.01619043322833842,0.007613193754135384,0.004831619392697607
13,0.26581972029215356,0.07701508648335183,0.03338953583843202,0.018626499193179196
14,0.034840061199648144,0.009309314606043596,0.0051941071290897865,0.004018668456374751
15,0.3720364301431509,0.06750460773149924,0.026070904731392983,0.013791575477414043
16,0.17519697885367821,0.04431075849974164,0.02667746121339314,0.020859182322181324
17,0.24694205647002565,0.055830678481153896,0.033379288408506326,0.035297286659752215
18,1.07772466613404,0.11312748989975169,0.04218684958572794,0.023275104246022187
19,2.667672053796873,0.44280638295044455,0.13316495295329903,0.06873322562050271
20,3.6315275308910366,0.7010097555700576,0.26947442564194446,0.13534971688877198
21,15.430734760062528,1.4886318530759652,0.4702066925009862,0.2271303581802014
22,5.30280501865323,0.6250770843197522,0.1977637348330632,0.10278054811816265
23,8.658999626180593,0.9717540378523362,0.467802905257531,0.3563331091919333
24,32.27258660442922,2.6841946032875805,0.7498072773744532,0.2885555696100658
25,52.62855217332989,4.058324169146838,0.918435997676871,0.41174143832600457
26,34.98485979503958,2.142039607757481,0.44136768673845667,0.1845718935036548
27,333.69543394653607,12.13762167634855,3.1797288150954115,1.8059837176908267
28,278.2323391950687,10.91079125946782,2.574578482266546,1.2427043441347903
29,504.0956685312739,20.562511776293945,3.9340405079720333,1.8418757609490073
30,452.35160331880155,14.809613167858686,3.5123515467526545,1.6336798158200656
